"","Data","Descrição","Valor","Credor","","","","","","","","","","","","","","","",""
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024","R$ 319,80","BANCO DO BRASIL","207","00.000.000/0001-91","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1278/17","-","-","-","-","-","-"
"","30/12/2024","IMPORTANCIA EMPENHADA PARA PAGAMENTO DE SERVIDORES LOTADOS NA SECRETARIA DE FINANÇAS DEZEMBRO 2024.","R$ 5.440,33","SERVDIRORES DA SECRETARIA DE FINANÇAS","207","14.197.586/0001-30","4 - Administração","122 - Administração Geral","17530000 - Recursos Provenientes de taxas e contribuições","31/12/2024","-","31901100 - VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL","Liquidação","1277/14","-","-","-","-","-","-"
"","30/12/2024","IMPORTANCIA EMPENHADA PARA PAGAMENTO DE SERVIDORES LOTADOS NA SECRETARIA DE FINANÇAS DEZEMBRO 2024.","R$ 5.440,33","SERVDIRORES DA SECRETARIA DE FINANÇAS","207","14.197.586/0001-30","4 - Administração","122 - Administração Geral","17530000 - Recursos Provenientes de taxas e contribuições","31/12/2024","-","31901100 - VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL","Pagamento","1277/14","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF. A LOCAÇÃO DE MÁQUINAS COM OPERADOR, DE CAMINHÃO CAÇAMBA TRUCK E DE CAMINHÃO CAÇAMBA BASCULANTE TOCO, PARA SER UTILIZADO NESTE MUNICÍPIO. NF.12010","R$ 102.600,00","PIEMONTE DA CHAPADA TRANSPORTE LTDA","207","09.322.155/0001-19","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","PE030/2023","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1260/2","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF. A LOCAÇÃO DE MÁQUINAS COM OPERADOR, DE CAMINHÃO CAÇAMBA TRUCK E DE CAMINHÃO CAÇAMBA BASCULANTE TOCO, PARA SER UTILIZADO NESTE MUNICÍPIO. NF.12010","R$ 102.600,00","PIEMONTE DA CHAPADA TRANSPORTE LTDA","207","09.322.155/0001-19","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","PE030/2023","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1260/2","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF. A LOCAÇÃO DE VEÍCULO PARA TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE ENSINO, DESTE MUNICÍPIO. NF.163. (PARCIAL)","R$ 280.000,00","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","782 - Transporte Rodoviário","15410000 - Transferências do FUNDEB - Complementação da União - VAAF","31/12/2024","PE004-2022","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1254/6","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF. A LOCAÇÃO DE VEÍCULO PARA TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE ENSINO, DESTE MUNICÍPIO. NF.163. (PARCIAL)","R$ 280.000,00","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","782 - Transporte Rodoviário","15410000 - Transferências do FUNDEB - Complementação da União - VAAF","31/12/2024","PE004-2022","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1254/6","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO RATEIO CONSÓRCIO DESENVOLVIMENTO DA CHAPADA DO PIEMONTE, CONFORME CONTRATO 003/2024 DO CONVENIO 016/2024.","R$ 1.162,41","CONSORCIO DE DESENV.SUSTENTAVEL DO TERRTORIO DO PIEMONTE DA DIAMANTINA","207","15.558.388/0001-18","4 - Administração","845 - Transferências","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33717000 - RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO","Liquidação","1201/5","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO RATEIO CONSÓRCIO DESENVOLVIMENTO DA CHAPADA DO PIEMONTE, CONFORME CONTRATO 003/2024 DO CONVENIO 016/2024.","R$ 1.162,41","CONSORCIO DE DESENV.SUSTENTAVEL DO TERRTORIO DO PIEMONTE DA DIAMANTINA","207","15.558.388/0001-18","4 - Administração","845 - Transferências","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33717000 - RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO","Pagamento","1201/5","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO RATEIO CONSÓRCIO DESENVOLVIMENTO DA CHAPADA DO PIEMONTE, CONFORME CONTRATO 003/2024 DO CONVENIO 075/2023.","R$ 348,99","CONSORCIO DE DESENV.SUSTENTAVEL DO TERRTORIO DO PIEMONTE DA DIAMANTINA","207","15.558.388/0001-18","4 - Administração","845 - Transferências","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33717000 - RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO","Liquidação","1200/5","-","-","-","-","-","-"
