"","Data","Descrição","Valor","Credor","","","","","","","","","","","","","","","",""
"","30/12/2024","PAGAMENTO REF.  AO SERVIÇOS DE LOCAÇÃO DE VEÍCULO PARA TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE ENSINO. NF.163. (PARCIAL)","R$ 150.000,00","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","782 - Transporte Rodoviário","15500000 - Transferência do Salário-Educação","31/12/2024","PE004-2022","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1285","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF.  AO SERVIÇOS DE LOCAÇÃO DE VEÍCULO PARA TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE ENSINO. NF.163. (PARCIAL)","R$ 150.000,00","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","782 - Transporte Rodoviário","15500000 - Transferência do Salário-Educação","31/12/2024","PE004-2022","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1285","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO REF.  AO SERVIÇOS DE LOCAÇÃO DE VEÍCULO PARA TRANSPORTE DE ALUNOS DA REDE MUNICIPAL DE ENSINO. NF.163. (PARCIAL)","R$ 150.000,00","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","782 - Transporte Rodoviário","15500000 - Transferência do Salário-Educação","31/12/2024","PE004-2022","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Empenho","1285","-","-","-","-","-","-"
"","30/12/2024","EMPENHO REFERENTE A CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS DE CONTRUÇÃO, PARA MANUTENÇÃO DE PRÉDIOS PÚBLICOS DESTE MUNICÍPIO.","R$ 31.720,00","PATOS FABRICAÇÃO PREMOLDADOS LTDA","207","35.680.413/0001-49","15 - Urbanismo","451 - Infra-estrutura Urbana","1720000 - Transferências da União Referentes às participações na exploração de Petróleo e Gás Natural destinadas ao FEP - Lei 9.478/1997","31/12/2024","PE032/2023","33903000 - MATERIAL DE CONSUMO","Liquidação","1284","-","-","-","-","-","-"
"","30/12/2024","EMPENHO REFERENTE A CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS DE CONTRUÇÃO, PARA MANUTENÇÃO DE PRÉDIOS PÚBLICOS DESTE MUNICÍPIO.","R$ 31.720,00","PATOS FABRICAÇÃO PREMOLDADOS LTDA","207","35.680.413/0001-49","15 - Urbanismo","451 - Infra-estrutura Urbana","1720000 - Transferências da União Referentes às participações na exploração de Petróleo e Gás Natural destinadas ao FEP - Lei 9.478/1997","31/12/2024","PE032/2023","33903000 - MATERIAL DE CONSUMO","Pagamento","1284","-","-","-","-","-","-"
"","30/12/2024","EMPENHO REFERENTE A CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE MATERIAIS DE CONTRUÇÃO, PARA MANUTENÇÃO DE PRÉDIOS PÚBLICOS DESTE MUNICÍPIO.","R$ 31.720,00","PATOS FABRICAÇÃO PREMOLDADOS LTDA","207","35.680.413/0001-49","15 - Urbanismo","451 - Infra-estrutura Urbana","1720000 - Transferências da União Referentes às participações na exploração de Petróleo e Gás Natural destinadas ao FEP - Lei 9.478/1997","31/12/2024","PE032/2023","33903000 - MATERIAL DE CONSUMO","Empenho","1284","-","-","-","-","-","-"
"","30/12/2024","EMPENHO REFERENTE A RESTITUIÇÃO DE EMPRESA DE TRANSPORTE ESCOLAR.","R$ 425.183,45","COOPERATIVA DO PIEMONTE DA CHAPADA COOPIMONTE","207","42.148.851/0001-26","12 - Educação","122 - Administração Geral","15001001 - Recurso não Vinculado de Imposto destinado a despesa com Manutenção e Desenvolvimento do Ensino","31/12/2024","PE004-2022","33909300 - INDENIZACOES E RESTITUICOES","Pagamento","1282","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024","R$ 48,00","BANCO DO BRASIL","207","00.000.000/0001-91","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1278/19","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024","R$ 48,00","BANCO DO BRASIL","207","00.000.000/0001-91","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1278/19","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024","R$ 319,80","BANCO DO BRASIL","207","00.000.000/0001-91","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1278/17","-","-","-","-","-","-"
