"","Data","Descrição","Valor","Credor","","","","","","","","","","","","","","","",""
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO RATEIO CONSÓRCIO DESENVOLVIMENTO DA CHAPADA DO PIEMONTE, CONFORME CONTRATO 003/2024 DO CONVENIO 075/2023.","R$ 348,99","CONSORCIO DE DESENV.SUSTENTAVEL DO TERRTORIO DO PIEMONTE DA DIAMANTINA","207","15.558.388/0001-18","4 - Administração","845 - Transferências","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33717000 - RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO","Pagamento","1200/5","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024.","R$ 121,51","CAIXA ECONOMICA FEDERAL","207","33.912.502/0001-48","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1190/82","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA PAGAMENTOS DE TARIFAS BANCÁRIAS DEZEMBRO 2024.","R$ 121,51","CAIXA ECONOMICA FEDERAL","207","33.912.502/0001-48","4 - Administração","122 - Administração Geral","15000000 - Recursos não Vinculados de Impostos","31/12/2024","-","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Pagamento","1190/82","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO PELA CONFECÇÃO E FORNECIMENTO DE MATERIAL PARA A CORRIDA DUQUE DE CAXIAS. NF.2315","R$ 23.220,00","LUCIANO BASTOS DE SOUZA DE JACOBINA","207","05.687.679/0001-52","27 - Desporto e Lazer","812 - Desporto Comunitário","15000000 - Recursos não Vinculados de Impostos","31/12/2024","DL019/2024","33903100 - PREMIACOES CULT. ART. CIENT. DESPOR. E OUTRAS","Liquidação","1186/3","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO PELA CONFECÇÃO E FORNECIMENTO DE MATERIAL PARA A CORRIDA DUQUE DE CAXIAS. NF.2315","R$ 23.220,00","LUCIANO BASTOS DE SOUZA DE JACOBINA","207","05.687.679/0001-52","27 - Desporto e Lazer","812 - Desporto Comunitário","15000000 - Recursos não Vinculados de Impostos","31/12/2024","DL019/2024","33903100 - PREMIACOES CULT. ART. CIENT. DESPOR. E OUTRAS","Pagamento","1186/3","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO PELA CONFECÇÃO E FORNECIMENTO DE MATERIAL PARA A CORRIDA DUQUE DE CAXIAS. NF.2314","R$ 16.020,00","LUCIANO BASTOS DE SOUZA DE JACOBINA","207","05.687.679/0001-52","27 - Desporto e Lazer","812 - Desporto Comunitário","15000000 - Recursos não Vinculados de Impostos","31/12/2024","DL017/2024","33903100 - PREMIACOES CULT. ART. CIENT. DESPOR. E OUTRAS","Liquidação","1184/1","-","-","-","-","-","-"
"","30/12/2024","PAGAMENTO PELA CONFECÇÃO E FORNECIMENTO DE MATERIAL PARA A CORRIDA DUQUE DE CAXIAS. NF.2314","R$ 16.020,00","LUCIANO BASTOS DE SOUZA DE JACOBINA","207","05.687.679/0001-52","27 - Desporto e Lazer","812 - Desporto Comunitário","15000000 - Recursos não Vinculados de Impostos","31/12/2024","DL017/2024","33903100 - PREMIACOES CULT. ART. CIENT. DESPOR. E OUTRAS","Pagamento","1184/1","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO TERMO DE FOMENTO A TRANSFERÊNCIA DE RECURSOS FINANCEIROS, ORIUNDOS DO FUNDO ESTADUAL DE SAUDE, CONF. PORTARIA 398 DE 08 DE ABRIL DE 2024, REFERENTE REAJUSTE DOS VALORES DE CUSTEIO DOS CENTROS ESPECIALIZADOS EM REABILITAÇÃO CER.","R$ 151.200,00","ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE","207","16.256.083/0001-14","10 - Saúde","302 - Assistência Hospitalar e Ambulatorial","16210000 - Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual","31/12/2024","-","33504300 - SUBVENCOES SOCIAIS","Liquidação","1179/3","-","-","-","-","-","-"
"","30/12/2024","IMPORTÂNCIA EMPENHADA PARA REPASSE DO TERMO DE FOMENTO A TRANSFERÊNCIA DE RECURSOS FINANCEIROS, ORIUNDOS DO FUNDO ESTADUAL DE SAUDE, CONF. PORTARIA 398 DE 08 DE ABRIL DE 2024, REFERENTE REAJUSTE DOS VALORES DE CUSTEIO DOS CENTROS ESPECIALIZADOS EM REABILITAÇÃO CER.","R$ 151.200,00","ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS - APAE","207","16.256.083/0001-14","10 - Saúde","302 - Assistência Hospitalar e Ambulatorial","16210000 - Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Estadual","31/12/2024","-","33504300 - SUBVENCOES SOCIAIS","Pagamento","1179/3","-","-","-","-","-","-"
"","30/12/2024","IMP EMPENHADA PARA PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS (TIPO ÔNIBUS) EM CARÁTER EVENTUAL, COM MOTORISTA, COMBUSTÍVEL, MANUTENÇÃO PREVENTIVA E CORRETIVA, SEGURO E OUTRAS DESPESAS INCLUSAS, JUNTO AO FUNDO MUNICIPAL DE SAÚDE.","R$ 14.700,00","ARGO BAHIA SERV. E EMPREENDIMENTOS EIRELI EPP","207","11.211.475/0001-43","10 - Saúde","122 - Administração Geral","15001002 - Recurso não Vinculado de Imposto destinado a despesa com Ações e Serviços Públicos de Saúde","31/12/2024","PE014-2023","33903900 - OUTROS SERV TERCEIROS - P. JURIDICA","Liquidação","1164/16","-","-","-","-","-","-"
